NomCommune	Surface	Code insee	Pop 90	Pop 99	lon	lat	x mètres	y mètres	pixel x	pixel y
Méré	1054.2	78389	1353	1675	1.8199678628	48.7955152767	24419.5145165171	73327.1651794799	122.0975725826	366.6358258974
Le Kremlin-Bicêtre	152.8	94043	19348	23724	2.3565699004	48.8092493106	63847.911253393	74399.06468591	319.239556267	371.9953234296
Viroflay	348.4	78686	14689	15211	2.170480038	48.8027634556	50174.415255644	73805.4066699194	250.8720762782	369.0270333496
Saint-Maur-des-Fossés	1124.3	94068	77206	73069	2.4936957882	48.7991709586	73911.0407102361	73205.1618339401	369.5552035512	366.0258091697
Bois-d'Arcy	560.5	78073	12693	12064	2.0196630027	48.8048612472	39100.596285305	74165.5889959	195.5029814265	370.8279449795
Galluis	448.4	78262	914	1034	1.7918421827	48.7980811278	22358.010016053	73643.6695332397	111.7900500803	368.2183476662
La Chapelle-Moutils	1950.6	77093	280	324	3.3826496418	48.777786163	139219.958807492	70776.3236165894	696.0997940375	353.8816180829
Favières	2841.4	77177	847	941	2.7683990539	48.7797843721	94082.70973717	70955.3256351994	470.4135486859	354.776628176
Saint-Martin-des-Champs	1042.1	77423	450	552	3.3336354316	48.7882087852	135613.30370402	71918.8448043196	678.0665185201	359.5942240216
Arcueil	232.7	94003	20334	18061	2.334474166	48.8055468705	62221.777258634	74000.8542200299	311.1088862932	370.0042711002
Châtillon	291.9	92020	26411	28622	2.2879220335	48.8029385303	58800.241156258	73740.6696766997	294.0012057813	368.7033483835
Bagneux	419.1	92007	36364	37252	2.3102334026	48.7984684884	60434.589569031	73229.1205837196	302.1729478452	366.1456029186
Jouars-Ponchartrain	980.9	78321	4282	4569	1.9082981655	48.7900164466	30899.1128759841	72622.4794860799	154.4955643799	363.1123974304
Roissy-en-Brie	1369.9	77390	18688	19693	2.6610358183	48.790044964	86198.40349355	72124.67199523	430.9920174678	360.6233599762
Faremoutiers	1089.5	77176	1849	2287	3.0010666628	48.7777580755	111179.548849204	70705.0696473699	555.897744246	353.5253482369
Vitry-sur-Seine	1162.1	94081	82400	78908	2.3947699776	48.7887081834	66635.7474348621	72092.9967941698	333.1787371743	360.4649839708
Villejuif	532.5	94076	48405	47384	2.3604730376	48.7925746768	64119.533858658	72542.7527677193	320.5976692933	362.7137638386
Chennevières-sur-Marne	520.1	94019	17857	17837	2.5408032653	48.7977076236	77370.2912542761	73021.3026943998	386.8514562714	365.106513472
Maulette	795.4	78381	705	712	1.616418452	48.7839052479	9446.179883066	72279.1809043493	47.2308994153	361.3959045217
Créteil	1144.6	94028	82088	82154	2.454851445	48.783582373	71045.8415798061	71490.9276861995	355.229207899	357.454638431
Le Tremblay-sur-Mauldre	602	78623	668	813	1.8778657379	48.783943763	28653.943022897	71978.6783230994	143.2697151145	359.8933916155
Mortcerf	1790.7	77318	1072	1307	2.9050378172	48.783084963	104123.605770007	71301.5480529899	520.61802885	356.507740265
Cachan	278.3	94016	24266	24838	2.3319206197	48.7916347917	62021.1496062811	72455.6195164798	310.1057480314	362.2780975824
